,player_type,amount,rank,team,year
0,Active Roster,"$45,142,733",28th,arizona-diamondbacks,2015
1,Injured List,"$1,026,500",26th,arizona-diamondbacks,2015
2,Retained,"$30,465,028",6th,arizona-diamondbacks,2015
3,Minor,"$147,540",25th,arizona-diamondbacks,2015
4,Total Adjusted Payroll Allocations,"$76,781,801",28th,arizona-diamondbacks,2015
5,Active Roster,"$42,311,467",29th,athletics,2015
6,Injured List,"$8,772,896",17th,athletics,2015
7,Retained,"$29,168,581",8th,athletics,2015
8,Minor,"$238,395",22nd,athletics,2015
9,Total Adjusted Payroll Allocations,"$80,491,339",26th,athletics,2015
10,Active Roster,"$54,961,789",24th,atlanta-braves,2015
11,Injured List,"$11,263,899",13th,atlanta-braves,2015
12,Retained,"$44,307,649",4th,atlanta-braves,2015
13,Minor,"$244,042",21st,atlanta-braves,2015
14,Total Adjusted Payroll Allocations,"$110,777,379",18th,atlanta-braves,2015
15,Active Roster,"$105,883,315",12th,baltimore-orioles,2015
16,Injured List,"$1,245,000",25th,baltimore-orioles,2015
17,Retained,"$8,976,584",20th,baltimore-orioles,2015
18,Minor,"$295,971",18th,baltimore-orioles,2015
19,Total Adjusted Payroll Allocations,"$116,400,870",16th,baltimore-orioles,2015
20,Active Roster,"$95,030,446",16th,boston-red-sox,2015
21,Injured List,"$42,985,571",1st,boston-red-sox,2015
22,Retained,"$45,443,277",3rd,boston-red-sox,2015
23,Minor,"$22,184",28th,boston-red-sox,2015
24,Total Adjusted Payroll Allocations,"$183,481,478",3rd,boston-red-sox,2015
25,Active Roster,"$106,652,384",9th,chicago-cubs,2015
26,Injured List,"$1,000,000",28th,chicago-cubs,2015
27,Retained,"$23,656,617",12th,chicago-cubs,2015
28,Minor,"$1,684,809",5th,chicago-cubs,2015
29,Total Adjusted Payroll Allocations,"$132,993,810",11th,chicago-cubs,2015
30,Active Roster,"$94,365,735",17th,chicago-white-sox,2015
31,Injured List,"$507,500",30th,chicago-white-sox,2015
32,Reserve/Suspended,"$13,000,000",1st,chicago-white-sox,2015
33,Retained,"$9,052,252",19th,chicago-white-sox,2015
34,Total Adjusted Payroll Allocations,"$116,925,487",15th,chicago-white-sox,2015
35,Active Roster,"$68,445,559",21st,cincinnati-reds,2015
36,Injured List,"$22,890,777",6th,cincinnati-reds,2015
37,Retained,"$20,832,787",13th,cincinnati-reds,2015
38,Minor,"$163,974",24th,cincinnati-reds,2015
39,Total Adjusted Payroll Allocations,"$112,333,097",17th,cincinnati-reds,2015
40,Active Roster,"$45,520,977",27th,cleveland-guardians,2015
41,Injured List,"$680,720",29th,cleveland-guardians,2015
42,Retained,"$29,817,050",7th,cleveland-guardians,2015
43,Minor,"$1,385,666",6th,cleveland-guardians,2015
44,Total Adjusted Payroll Allocations,"$77,404,413",27th,cleveland-guardians,2015
45,Active Roster,"$74,930,648",20th,colorado-rockies,2015
46,Injured List,"$6,103,870",20th,colorado-rockies,2015
47,Retained,"$19,940,868",14th,colorado-rockies,2015
48,Minor,"$301,665",17th,colorado-rockies,2015
49,Total Adjusted Payroll Allocations,"$101,277,051",22nd,colorado-rockies,2015
50,Active Roster,"$109,879,336",8th,detroit-tigers,2015
51,Injured List,"$27,072,978",4th,detroit-tigers,2015
52,Retained,"$25,208,607",11th,detroit-tigers,2015
53,Total Adjusted Payroll Allocations,"$162,160,921",6th,detroit-tigers,2015
54,Active Roster,"$64,818,398",22nd,houston-astros,2015
55,Injured List,"$11,040,900",14th,houston-astros,2015
56,Retained,"$3,150,680",25th,houston-astros,2015
57,Minor,"$2,331,568",4th,houston-astros,2015
58,Total Adjusted Payroll Allocations,"$81,341,546",25th,houston-astros,2015
59,Active Roster,"$111,740,891",7th,kansas-city-royals,2015
60,Injured List,"$10,483,450",16th,kansas-city-royals,2015
61,Retained,"$4,047,582",23rd,kansas-city-royals,2015
62,Minor,"$257,912",20th,kansas-city-royals,2015
63,Total Adjusted Payroll Allocations,"$126,529,835",13th,kansas-city-royals,2015
64,Active Roster,"$106,512,083",10th,los-angeles-angels,2015
65,Injured List,"$19,015,000",8th,los-angeles-angels,2015
66,Retained,"$16,043,722",16th,los-angeles-angels,2015
67,Minor,"$627,357",8th,los-angeles-angels,2015
68,Total Adjusted Payroll Allocations,"$142,198,162",8th,los-angeles-angels,2015
69,Active Roster,"$202,137,688",1st,los-angeles-dodgers,2015
70,Injured List,"$20,914,084",7th,los-angeles-dodgers,2015
71,Retained,"$68,164,195",1st,los-angeles-dodgers,2015
72,Minor,"$10,519,113",1st,los-angeles-dodgers,2015
73,Total Adjusted Payroll Allocations,"$301,735,080",1st,los-angeles-dodgers,2015
74,Active Roster,"$37,571,144",30th,miami-marlins,2015
75,Injured List,"$15,751,830",10th,miami-marlins,2015
76,Retained,"$19,528,890",15th,miami-marlins,2015
77,Minor,"$138,661",26th,miami-marlins,2015
78,Total Adjusted Payroll Allocations,"$72,990,525",30th,miami-marlins,2015
79,Active Roster,"$58,772,714",23rd,milwaukee-brewers,2015
80,Injured List,"$1,020,000",27th,milwaukee-brewers,2015
81,Retained,"$33,510,458",5th,milwaukee-brewers,2015
82,Minor,"$549,095",9th,milwaukee-brewers,2015
83,Total Adjusted Payroll Allocations,"$93,852,267",24th,milwaukee-brewers,2015
84,Active Roster,"$101,448,147",14th,minnesota-twins,2015
85,Injured List,"$2,070,081",23rd,minnesota-twins,2015
86,Retained,"$2,200,000",27th,minnesota-twins,2015
87,Minor,"$513,590",11th,minnesota-twins,2015
88,Total Adjusted Payroll Allocations,"$106,231,818",21st,minnesota-twins,2015
89,Active Roster,"$103,930,260",13th,new-york-mets,2015
90,Injured List,"$5,551,249",21st,new-york-mets,2015
91,Suspended/Restricted,"$311,967",1st,new-york-mets,2015
92,Retained,"$129,200",29th,new-york-mets,2015
93,Minor,"$476,251",12th,new-york-mets,2015
94,Total Adjusted Payroll Allocations,"$110,398,927",19th,new-york-mets,2015
95,Active Roster,"$187,465,727",2nd,new-york-yankees,2015
96,Injured List,"$24,415,379",5th,new-york-yankees,2015
